Life Expectancy

Location, Year, Sex, Age
Afghanistan, 2019, M, 53.95
Afghanistan, 2019, F, 54.73
Bahamas, 2019, M, 62.26
Bahamas, 2019, F, 66.47
Cambodia, 2019, M, 59.81
Cambodia, 2019, F, 63.03
